// Validating benchmarks:
Assembly LINQPadQuery, Version=1.0.0.1831, Culture=neutral, PublicKeyToken=null is located in temp. If you are running benchmarks from xUnit you need to disable shadow copy. It's not supported by design.
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 4 benchmarks:
//   AoC2019Day1.Part1Linq: DefaultJob
//   AoC2019Day1.Part2Linq: DefaultJob
//   AoC2019Day1.Part1Foreach: DefaultJob
//   AoC2019Day1.Part2Foreach: DefaultJob

// **************************
// Benchmark: AoC2019Day1.Part1Linq: DefaultJob
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 558400.00 ns, 558.4000 us/op
WorkloadJitting  1: 1 op, 999000.00 ns, 999.0000 us/op

OverheadJitting  2: 16 op, 1102200.00 ns, 68.8875 us/op
WorkloadJitting  2: 16 op, 1243900.00 ns, 77.7438 us/op

WorkloadPilot    1: 16 op, 43300.00 ns, 2.7062 us/op
WorkloadPilot    2: 32 op, 41200.00 ns, 1.2875 us/op
WorkloadPilot    3: 64 op, 127000.00 ns, 1.9844 us/op
WorkloadPilot    4: 128 op, 148600.00 ns, 1.1609 us/op
WorkloadPilot    5: 256 op, 655400.00 ns, 2.5602 us/op
WorkloadPilot    6: 512 op, 984500.00 ns, 1.9229 us/op
WorkloadPilot    7: 1024 op, 2296400.00 ns, 2.2426 us/op
WorkloadPilot    8: 2048 op, 4017200.00 ns, 1.9615 us/op
WorkloadPilot    9: 4096 op, 9242000.00 ns, 2.2563 us/op
WorkloadPilot   10: 8192 op, 11475000.00 ns, 1.4008 us/op
WorkloadPilot   11: 16384 op, 24201600.00 ns, 1.4771 us/op
WorkloadPilot   12: 32768 op, 52753700.00 ns, 1.6099 us/op
WorkloadPilot   13: 65536 op, 113017600.00 ns, 1.7245 us/op
WorkloadPilot   14: 131072 op, 203837000.00 ns, 1.5552 us/op
WorkloadPilot   15: 262144 op, 381512400.00 ns, 1.4554 us/op
WorkloadPilot   16: 524288 op, 809172700.00 ns, 1.5434 us/op

OverheadWarmup   1: 524288 op, 1378300.00 ns, 2.6289 ns/op
OverheadWarmup   2: 524288 op, 1363200.00 ns, 2.6001 ns/op
OverheadWarmup   3: 524288 op, 1024000.00 ns, 1.9531 ns/op
